phrase_index,start_sec,end_sec,duration_sec,transcript_text,original_diarization_speaker,casa_assigned_speaker,attribution_changed,decision_type,attribution_confidence,provisional_status,acoustic_score,temporal_score,linguistic_score,alternate_speaker,alternate_confidence,acoustic_evidence,temporal_evidence,linguistic_evidence,all_evidence
0,0.0,5.92,5.92,"Typically, we can see in chart B that the overall figure for computer ownership stands at around 60 million,",Speaker 1,Speaker 1,False,CONFIRM,0.7407,True,0.8512,0.65,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.69) | local continuity: 3/3 neighbors match | forward continuity: next phrase also Speaker 1,,,moderate acoustic similarity to Speaker 1 (sim=0.69) | local continuity: 3/3 neighbors match | forward continuity: next phrase also Speaker 1 | no prior context (first phrase) | decision: CONFIRM (confidence=0.74 ≥ 0.7)
1,6.62,9.84,3.22,which represents a huge increase in a very short time period.,Speaker 1,Speaker 1,False,CONFIRM,0.754,False,0.8072,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.64) | local continuity: 4/4 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.64) | local continuity: 4/4 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.75 ≥ 0.7)
2,10.54,15.46,4.92,"Now, of course, 60 million is just a drop in the ocean if you compare the total population of China.",Speaker 1,Speaker 1,False,CONFIRM,0.7663,False,0.8296,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.67) | local continuity: 5/5 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.67) | local continuity: 5/5 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.77 ≥ 0.7)
3,16.06,20.22,4.16,And this is a key reason why the personal computer market is such a hot market.,Speaker 1,Speaker 1,False,CONFIRM,0.8133,False,0.817,0.8,0.82,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.65) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.65) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.81 ≥ 0.7)
4,20.78,27.64,6.86,"For us at Alpha, and of course for all of our competitors as well, we have millions of potential customers who are looking to join the internet generation.",Speaker 1,Speaker 1,False,CONFIRM,0.7602,False,0.8185,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.65) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.65) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.76 ≥ 0.7)
5,28.32,33.24,4.92,"If we do this right, we really can repute rewards in a very short time frame.",Speaker 1,Speaker 1,False,CONFIRM,0.7422,False,0.7858,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.61) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.61) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.74 ≥ 0.7)
6,34.02,40.2,6.18,I now like to move on to discuss the X420 brand itself and compare and contrast with some of our key competitors.,Speaker 1,Speaker 1,False,CONFIRM,0.7631,False,0.8237,0.8,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.66) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.66) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.76 ≥ 0.7)
7,45.2,46.5,1.3,"All right, we're back.",Speaker 1,Speaker 1,False,UNCERTAIN,0.53,False,0.4,0.8,0.55,Speaker 2,0.5867,weak acoustic similarity to Speaker 1 (sim=0.29) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,weak acoustic similarity to Speaker 1 (sim=0.29) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.53; original label preserved)
8,46.72,49.24,2.52,So now we've picked out a couple of different phrases for you.,Speaker 1,Speaker 1,False,UNCERTAIN,0.5965,False,0.4,0.85,0.82,Speaker 3,0.5714,weak acoustic similarity to Speaker 1 (sim=0.33) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.22s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.22s) supports continuity,dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,weak acoustic similarity to Speaker 1 (sim=0.33) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.22s) supports continuity | forward continuity: next phrase also Speaker 1 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.60; original label preserved)
9,49.4,51.28,1.88,Let's check those out now on Fluency Builder.,Speaker 1,Speaker 1,False,UNCERTAIN,0.6922,False,0.695,0.8,0.55,Speaker 3,0.6048,moderate acoustic similarity to Speaker 1 (sim=0.56) | speaker continuity from previous turn (Speaker 1) | short pause before (0.16s) supports continuity,speaker continuity from previous turn (Speaker 1) | short pause before (0.16s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.56) | speaker continuity from previous turn (Speaker 1) | short pause before (0.16s) supports continuity | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.69; original label preserved)
